,Tweet_text,obesity_present,pre_count,post_count
0,Another publication from the @abetterstartnz including me #childhood #obesity https://t.co/5JAJSNdx6P,True,0,0
2,"What's leading to shorter lifespans in America? 'Midlife deaths' from overdoses, suicides and diseases brought on by smoking, obesity and stress drive the decrease. https://t.co/RdIH811hCQ via @Benefits_Pro #lifeexpectancy #lifespan #health #longevity #suicide #obesity #stress",True,0,1
3,VIDEO: Clinical studies of obesity in oncogenesis and treatment response w/ Stephen Hursting of @UNC_NRI  : https://t.co/3Zm9A2F9Ha @VJOncology  @NCRI_partners  #CancerResearch #Obesity #ClinicalTrial,True,0,1
5,"RT @SlimmingWorld: Ahead of #GE2019, we're calling for the new Government to act on #Obesity and treat the problem as a priority. Read more…",True,0,0
6,RT @rcpsychEDFac: There needs to be better dialogue between #EatingDisorder and #obesity research and clinical work #rcpsychedfac19,True,0,0
7,"Sweet tooth or not, this applies to everyone alike! 
https://t.co/q50PlPXw0F
#healthcare #sugarcravings #obesity https://t.co/OTAi1Wa1q8",True,1,0
8,"RT @MargotNeveux: Multi-sectoral policy frameworks, strategies &amp; community-based interventions are a vital component to address #obesity. D…",True,0,1
9,"Beware - some coffee shop drinks contain 3 - 4.4 tbsp (not teaspoons!) of #sugar. Hot chocolate, flavoured lattes and holiday drinks are the worst culprits. See listings and sugar amounts in your favourite drinks here. https://t.co/cr2slQV1rw #diabetes #obesity #diabesity https://t.co/UynUFgwqj6",True,4,1
10,"Nobody had an easy weight loss journey. But if your efforts seem to be going in vain, may be it's time to step back and analyse your habits.
https://t.co/0kSdNha857
#weightloss #obesity #healthcare https://t.co/JbobvGvOpH",True,0,0
11,RT @gurchrandhawa: Fantastic! @bramptongrand - Tackling burden of #diabetes #obesity #kidneydisease in #Sikh community requires #healthy #l…,True,0,3
13,"Take a bite out of these immune-boosting recommendations when you have a cold, too. https://t.co/QVyTLEc9UJ #DrPatriciamd #obesity #healthy #children #families #compassionate #empowering #Orangecounty #Servingkidshope #kidshealth #battleobesity https://t.co/XoPY3ndjry",True,0,0
14,RT @EASOobesity: Chart: Where Is #Obesity Most and Least Prevalent in the #EU Statista https://t.co/Grc54uLQGb new Infographic from @Statis…,True,0,0
15,You should all check out this event on State of #Obesity 2019 from @HealthyAmerica1 @ObesityAction @American_Heart @AmericanCancer @PCORI @HouseDemocrats @HouseGOP @CDCgov  @Surgeon_General @AAPPres @SenateGOP @ObesitySociety @SenateDems   Sign up here: https://t.co/9DTwN9DjXL https://t.co/JSAzdOHue1,True,0,2
16,"The human gut bacteria Christensenellaceae are widespread, heritable, and associated with health 
https://t.co/MdMcv9oMJ6
#gutmicrobiome #microbiome #firmicutes #microbialecology #hostmicrobeinteractions #obesity #IBD",True,0,0
17,Quality realistic #bariatrictraining at https://t.co/MLKRqz34U7 for the bulk/weight/look of a person with #obesity. Limbs flex like real. #Fire #Paramedic #Ambulance #NHS #Nursing #Police #HART #Firefighters #USAR #Hospital #Bariatric #Patient #Training #HealthAndSafety #Rescue https://t.co/rmuEpj7DEy,True,0,0
18,"Own it.

Affirmation for the overweight.

#weightloss #obesity #health #fitness https://t.co/NC5ZS6jf0g",True,1,0
19,RT @MC_Podszun: My abstract on how vitamin E reduces steatosis in #NAFLD has been accepted for the #Obesity and #NAFLD Keystone Symposia 🥳…,True,2,0
20,"So why is a third of our world battling #obesity and spending huge $ to burn calories, while the other two-thirds yearn to get more of them?",True,1,0
21,"RT @Zuloaga_Lab: Our lab is recruiting grad students this year! PhD or MS. Interested in #SexDifferences, #Dementia or #obesity? DM us if y…",True,0,0
22,How We Changed the World in 2019 https://t.co/wpftOfBcxt via @YouTube #animals #health #compassion #kindness #heartdisease #cancer #diabetes #obesity #coloncancer @breastcancer #PEACE BEGINS ON OUR PLATES #plantbased options exist for all foods #vegan #ethics #morality,True,1,7
23,RT @monica__leslie: Dr @DashaNicholls discussing #obesity interventions from an #eatingdisorders perspective. “Shaming people does not impr…,True,0,0
26,"Mommy Beeps: A Book for Children Who Love a Type 1 - https://t.co/vYUm625mY6
#obesity #bariatricsurgery #childobesity #diabetes2 #glucoseintolerance #insulinresistance #obesepeople #prediabetes https://t.co/cHHTL43RtV",True,0,3
29,"My abstract on how vitamin E reduces steatosis in #NAFLD has been accepted for the #Obesity and #NAFLD Keystone Symposia 🥳
#postdoclife #KSliver #CelebrateAllTheGoodNews #Banff2020 @KeystoneSymp https://t.co/YoDUuw3TQJ",True,3,1
30,RT @NeilFlochMD: Have you been living under a rock? #obesity is a bigger problem than starvation - we have have an #obesityepidemic and WE…,True,0,0
31,RT @Cardonamalaga: Our group is looking for candidates interested in the study of molecular mechanisms related to #obesity #diabetes and ot…,True,0,1
32,RT @NeilFlochMD: Metabolic and Bariatric Surgery for Pediatric Patients With Severe #Obesity | American Academy of Pediatrics - #bariatrics…,True,0,2
34,"Here at @kpscalresearch, we study risk factors, treatment, acute and chronic complications, and pregnancy outcomes associated with #obesity. Our research also includes pediatric obesity, adult weight management programs and bariatric surgery.
#KPResearch 
https://t.co/xm0pKR9z4h https://t.co/iuTOd1E9pd",True,0,2
35,"Geographic Availability of #Physicians 
Certified by the American Board of Obesity #Medicine 
Relative to #Obesity Prevalence
https://t.co/eDCycSSLyN via @ObesitySociety

@aafp @AmerAcadPeds #treatment #health #healthcare #ChildhoodObesity https://t.co/wwP0OCEqX9",True,0,0
36,"Is the gut microbiome and inflammation contributing to osteoarthritis pain? #osteoarthritis #microbiome #obesity #inflammation
https://t.co/jIFkWKgpZs https://t.co/ZpGRemwjGL",True,0,5
37,"Obesity has been linked to brain damage in teenagers, with MRI scans revealing impairment in regions associated with emotions, cognitive function, and appetite control.
https://t.co/A1UMrWIgja
#AdvancedImagingSystems #MRI #Obesity https://t.co/fw0RkJVHVV",True,0,1
39,"The choice of treatment for #obesity depends on a number of factors. But, the  primary focus should be based on understanding the patient and their needs and goals. https://t.co/HIaCy42Rnj",True,0,0
40,#Rescue or handling #Training for #scenarios involving people suffering from #Obesity? See how a Bariquin can help https://t.co/hltOcJ6ZFF #Fire #Paramedic #Ambulance #NHS #Nurses #HART #Firefighter #SAR #ISAR #Hospital #Care #BariatricTraining #Bariatric #PatientSafety #Dignity https://t.co/kutZnBQhVV,True,0,0
41,Discussion around #obesity and cancer disparities https://t.co/yUfvIjdsI2,True,0,1
42,"As a healthcare professional, you are in a unique position to talk to the families of overweight children about their #weight. 💬 Read our helpful step-by-step guide on discussing weight management with patients here 👉 https://t.co/4sNGLH1InW #Obesity #PublicHealth @PHE_uk https://t.co/sL7D6lhJy7",True,0,0
43,Rising #obesity rates in the U.S. create a public #health challenge and special challenges for #anesthesia. Read NAPA’s #whitepaper about anesthetic considerations in obese #patients. https://t.co/eTFoscT7Xz https://t.co/HuY3exFGHj,True,0,0
45,A thumbs up for the man in the hat #HealthyLifestyle #exercise #health #obesity #weightloss https://t.co/Qxt6TFc1Bg,True,0,0
48,@Reuters It’s funny because it’s what we do to humans. #obesity,True,0,0
49,"RT @BeMyHealth: Menopausal women are at a higher risk of several diseases including osteoporosis, #obesity, heart disease and diabetes

#me…",True,0,4
54,WHY fail at #WEIGHTLOSS when #OBESITY is leading #HEALTH issue? Your EXCUSE(s) SIGN UP at https://t.co/GyuznrxuXR https://t.co/AI64bgUcW8,True,0,0
55,#Obesidad #Obesity https://t.co/CVUDprgZnj,True,0,0
56,#weightloss #obesity #health #fitness #dieting 🤣 https://t.co/74YnkHqBpO,True,2,0
57,RT @deepasheregar: Our poster at #IDF2019 Busan on effects of #GDM #obesity on neonatal adiposity from @_MAASTHI cohort. Thanks to @thePHFI…,True,0,0
58,RT @BDA_Obesity: Congratulations to Constanza Pena the winner of the best abstract in the #obesity stream of the #BDAResearch symposium 👏🏼…,True,0,0
61,#Obesity and complications around wound healing. Video is up in regards to #FoodieBeauty and my react to her seafood boil is uploading as we speak. You may be surprised by what I have to say... https://t.co/cVZg9Lm5o2,True,2,0
62,"Our Vision
Children and families feeding well, feeling well, and living well.
https://t.co/yF0WF60Glz
#DrPatriciamd #obesity #healthy #children #families #compassionate #empowering #Orangecounty #Servingkidshope #kidshealth #battleobesity https://t.co/c21HJJisyB",True,0,0
63,"RT @WLSA_CareTeam: Australia's obesity problem is escalating, with new data showing almost half of young adults are overweight or obese. Re…",True,1,0
64,UCI Health #Cardiology Services was in #LaHabra last weekend promoting heart health and offering blood pressure screenings for the community.  ❤️ La Habra has the highest rate of childhood #obesity in Orange County. https://t.co/s41OYTqGrl,True,0,1
65,"Join us on December 10th for an engaging discussion on #SystemsThinking, #Gender, #Race, #Obesity, #Nutrition, #FamilyFarmers, local #FoodEnvironments &amp; more 👇 https://t.co/YczB0oQ7Qv",True,2,0
69,"Menopausal women are at a higher risk of several diseases including osteoporosis, #obesity, heart disease and diabetes

#menopause #weightloss #HealthyEating #loveyourself",True,0,4
70,"Australia's obesity problem is escalating, with new data showing almost half of young adults are overweight or obese. Read on to learn about the ways to help prevent this epidemic. https://t.co/iYdb1GNFCp #health #diet #obesity",True,1,0
72,#Rescue or handling #Training for #scenarios involving people suffering from #Obesity? See how a Bariquin can help https://t.co/hltOcJoB4f #Fire #Paramedic #Ambulance #NHS #Nurses #HART #Firefighter #SAR #ISAR #Hospital #Care #BariatricTraining #Bariatric #PatientSafety #Dignity https://t.co/cBsSMoUV3R,True,0,0
73,"A recent survey of #radiology administrators uncovered that over 20% of facilities outsource more than 5% of their scans because of #obesity – Visit us at #RSNA19, booth 1911 and see how we can help you deliver the next level in revenue retention. let’s talk. #HitachiHealthcare https://t.co/a7WK14wnzf",True,0,1
74,"The keto diet is a low carb, high fat, moderate protein diet that forces the body to burn fats for energy creating ketosis. It's effective for weight loss.  #Weightloss #Obesity #Nutrition #Food  
https://t.co/p48M64HhSE @JenniferELandis https://t.co/2Id1mifaGq",True,8,0
75,Various studies have shown that the natural compound in #greentea known as polyphenols can increase the metabolic rates and fat oxidation: https://t.co/EiVIHETWhe #weightloss #metabolism #obesity #weightgain #health https://t.co/jtt5WUUu37,True,1,1
76,"For those of you dying to hear it, but who couldn't be there, here's @OliWilliamsPhD giving his talk on when evidence isn't enough. https://t.co/zzMwhyYkou Enjoy! And note the audience was much bigger than he leads us to believe. #QualitativeResearch #PublicHealth #obesity",True,0,0
77,"Ahead of #GE2019, we're calling for the new Government to act on #Obesity and treat the problem as a priority. Read more in our manifesto: https://t.co/UTDwLnq3yj #SlimmingWorld https://t.co/o6XYiCLsuW",True,0,0
78,"See how getting your FibroScan may just be the best thing you do for in 2020 #prevention #obesity #type2diabetes #CVD #NASH 
https://t.co/Gtk74BWsDd
https://t.co/TaNlRyIWgH https://t.co/6KpXyS50bO",True,0,1
79,"Obesity is a complex disease involving an excessive amount of body fat. Obesity isn't just a cosmetic concern.
#DrThrivikramS #Obesity #Diabetes #Hypertension
For more details visit: https://t.co/OAV3XQQwRE https://t.co/COqholds9j",True,0,2
83,RT @maureen_busby: #pcos #obesity #WednesdayWisdom #WednesdayMotivation #MentalHealthMatters #mentalhealth #psychology #medtwitter #health…,True,0,0
